Player,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,Runs
Priyam Garg,2,2,0,42,23,33,139.39,0,0,4,2,46
Ramandeep Singh,5,4,2,14*,22.5,40,112.5,0,0,3,1,45
Dwaine Pretorius,6,5,1,22,11,28,157.14,0,0,3,3,44
Dushmantha Chameera,12,8,4,17,10.75,28,153.57,0,0,3,3,43
Harshal Patel,15,8,3,11,8.6,39,110.25,0,0,4,2,43
Hrithik Shokeen,5,3,1,25,21.5,48,89.58,0,0,5,0,43
Trent Boult,16,8,6,17*,20,29,137.93,0,0,2,1,40
Jagadeesan Narayan,2,2,1,39*,40,37,108.1,0,0,3,1,40
Daniel Sams,11,10,3,15,5.43,36,105.55,0,0,1,3,38
Wanindu Hasaranga,16,7,0,18,5.43,43,88.37,0,0,4,1,38
Rishi Dhawan,6,4,2,21*,18.5,40,92.5,0,0,4,2,37
Daryl Mitchell,2,2,0,17,16.5,44,75,0,0,1,0,33
Sherfane Rutherford,3,2,0,28,16.5,50,66,0,0,1,1,33
James Neesham,2,2,0,17,15.5,27,114.81,0,0,3,0,31
Mohammed Siraj,15,5,3,14*,15,33,90.9,0,0,5,0,30
Tim Seifert,2,2,0,21,12,19,126.31,0,0,4,0,24
Bhuvneshwar Kumar,14,6,3,8,8,26,92.3,0,0,3,0,24
Mohsin Khan,9,3,2,13*,23,16,143.75,0,0,2,1,23
Dwayne Bravo,10,6,4,12,11.5,24,95.83,0,0,1,1,23
Sheldon Jackson,5,5,1,8,5.75,26,88.46,0,0,0,1,23
Avesh Khan,13,4,3,12,22,13,169.23,0,0,0,3,22
Rassie van der Dussen,3,3,1,12*,11,24,91.66,0,0,2,0,22
Harpreet Brar,5,3,0,14,7.33,25,88,0,0,1,2,22
Mitchell Santner,6,4,2,11,11,27,81.48,0,0,3,0,22
Arshdeep Singh,14,6,3,10*,7,29,72.41,0,0,3,0,21
B Indrajith,3,3,0,15,7,30,70,0,0,2,0,21
Manan Vohra,2,1,0,19,19,11,172.72,0,0,1,2,19
Vijay Shankar,4,4,0,13,4.75,35,54.28,0,0,1,0,19
Mandeep Singh,3,3,0,18,6,23,78.26,0,0,4,0,18
Josh Hazlewood,12,5,5,7*,-,26,69.23,0,0,1,0,18
David Willey,4,2,0,18,9,30,60,0,0,3,0,18
Karun Nair,3,2,0,13,8,18,88.88,0,0,1,0,16
Simran Singh,1,1,0,14,14,11,127.27,0,0,2,0,14
Anmolpreet Singh,2,2,0,8,6.5,13,100,0,0,1,0,13
Murugan Ashwin,8,5,2,6,4,14,85.71,0,0,1,1,12
Varun Chakaravarthy,11,4,4,10*,-,18,66.66,0,0,2,0,12
Chris Jordan,4,2,1,6*,11,8,137.5,0,0,0,0,11
Rajangad Bawa,2,2,0,11,5.5,14,78.57,0,0,1,0,11
Shreyas Gopal,1,1,1,9*,-,7,128.57,0,0,2,0,9
Marco Jansen,8,3,2,8*,9,7,128.57,0,0,0,1,9
Obed McCoy,7,1,0,8,8,5,160,0,0,0,1,8
Srikar Bharat,2,2,0,8,4,7,114.28,0,0,2,0,8
Fabian Allen,1,1,0,8,8,7,114.28,0,0,1,0,8
Sean Abbott,1,1,0,7,7,5,140,0,0,0,1,7
Rasikh Salam,2,1,0,7,7,6,116.66,0,0,1,0,7
Kartik Tyagi,2,2,0,7,3.5,6,116.66,0,0,1,0,7
Maheesh Theekshana,9,2,1,7*,7,7,100,0,0,0,1,7
Simarjeet Singh,6,3,2,3*,7,8,87.5,0,0,0,0,7
Ripal Patel,2,1,0,6,6,3,200,0,0,0,1,6
Mukesh Choudhary,13,2,1,4,6,6,100,0,0,1,0,6
Prasidh Krishna,17,3,2,4*,6,12,50,0,0,0,0,6
Aman Khan,1,1,0,5,5,3,166.66,0,0,1,0,5
Lockie Ferguson,13,3,1,5,2.5,4,125,0,0,1,0,5
Alzarri Joseph,9,3,2,4*,5,7,71.42,0,0,0,0,5
Yuzvendra Chahal,17,2,1,5,5,8,62.5,0,0,0,0,5
Vaibhav Arora,5,4,2,2*,2.5,13,38.46,0,0,0,0,5
Prerak Mankad,1,1,1,4*,-,1,400,0,0,1,0,4
Karan Sharma,1,1,0,4,4,4,100,0,0,1,0,4
Abdul Samad,2,2,0,4,2,7,57.14,0,0,0,0,4
Abhijeet Tomar,1,1,0,4,4,8,50,0,0,1,0,4
Umran Malik,14,4,3,3*,4,8,50,0,0,0,0,4
Mustafizur Rahman,8,1,1,3*,-,5,60,0,0,0,0,3
Kumar Kartikeya Singh,4,1,0,3,3,5,60,0,0,0,0,3
Shivam Mavi,6,3,1,2,1.5,7,42.85,0,0,0,0,3
Harshit Rana,2,2,1,2,2,2,100,0,0,0,0,2
Navdeep Saini,2,1,0,2,2,2,100,0,0,0,0,2
Tristan Stubbs,2,2,0,2,1,4,50,0,0,0,0,2
Pradeep Sangwan,3,1,0,2,2,5,40,0,0,0,0,2
Fazalhaq Farooqi,3,1,1,2*,-,8,25,0,0,0,0,2
Jagadeesha Suchith,5,2,0,2,1,8,25,0,0,0,0,2
Tim Southee,9,5,1,1*,0.5,12,16.66,0,0,0,0,2
Nathan Coulter-Nile,1,1,1,1*,-,2,50,0,0,0,0,1
Anrich Nortje,6,1,1,1*,-,6,16.66,0,0,0,0,1
